Orientation,Parent,Fluor,PWM,P-value,ROI,N_without,N_with,Fluor_without,Fluor_with,Q-value,status,gain-loss,fluorescence_change
bottom,gen_137,RFP,Lrp,0.0005297232086483,"[74, 87]",2448,43,1.0,1.0,0.0006738231157067702,True,gain,0.0
top,gen_137,RFP,NarL,7.327439613659385e-05,"[59, 76]",2479,12,1.0,1.0,0.0001306235780374707,True,gain,0.0
top,gen_137,RFP,OxyR,0.0002465963176339,"[115, 135]",2479,12,1.0,1.0,0.0003629877331146308,True,gain,0.0
top,gen_213,GFP,IHF,7.817057769435624e-08,"[1, 15]",661,802,1.0,1.0,2.65368540067683e-07,True,loss,0.0
top,gen_213,GFP,NarL,2.4553950804428527e-05,"[0, 17]",455,1008,1.0,1.0,4.928155048300435e-05,True,loss,0.0
bottom,gen_213,RFP,NarL,0.0002254981273002,"[93, 110]",629,834,1.0,1.0,0.0003368229922515619,True,loss,0.0
top,gen_213,RFP,IHF,2.547283191875564e-06,"[1, 15]",661,802,1.0,1.0,6.583961474082741e-06,True,loss,0.0
bottom,gen_213,GFP,Fis,2.069992000103876e-06,"[1, 18]",1451,12,1.0,1.049910995481309,5.531673537000754e-06,True,gain,0.049910995481309
bottom,gen_213,GFP,NarL,4.83993627755014e-06,"[93, 110]",629,834,1.0,1.0,1.1902720238897137e-05,True,loss,0.0
top,gen_58,GFP,Fis,0.0001207515727963,"[8, 25]",533,2263,1.0,1.0,0.0001971766188699076,True,loss,0.0
top,gen_58,GFP,NanR,8.033360105156494e-09,"[24, 31]",2757,39,1.0,1.0,3.175303061063249e-08,True,gain,0.0
top,gen_58,GFP,NanR,0.001077062021528,"[59, 66]",250,2546,1.0,1.0,0.0011474106670782524,True,loss,0.0
top,gen_58,GFP,SoxS,0.0001612496801898,"[21, 43]",2668,128,1.0,1.0,0.0002517197977880376,True,gain,0.0
bottom,gen_58,RFP,MraZ,0.0005572435915975,"[110, 118]",216,2580,1.0,1.0,0.0006963647345862179,True,loss,0.0
bottom,gen_58,RFP,NsrR,2.963733110688438e-10,"[101, 116]",2778,18,1.0,1.630952380952381,1.3834004223904254e-09,True,gain,0.6309523809523809
top,gen_58,RFP,Dan,0.0004184954103577,"[120, 131]",2775,21,1.0,1.0,0.0005591760709016725,True,gain,0.0
bottom,gen_58,GFP,CsgD,1.735715901429722e-07,"[108, 122]",2752,44,1.0,1.0,5.547254198488233e-07,True,gain,0.0
bottom,gen_58,GFP,IHF,0.0013899201638326,"[72, 86]",450,2346,1.0,1.0,0.0013973745422527178,True,loss,0.0
bottom,gen_58,GFP,MarA,8.147565072206484e-05,"[90, 113]",391,2405,1.0,1.0,0.00014326387654846345,True,loss,0.0
bottom,gen_58,GFP,MraZ,0.0013795833921723,"[111, 119]",408,2388,1.0,1.0,0.0013893746156795556,True,loss,0.0
top,gen_85,GFP,Fis,0.0004980938914077,"[74, 91]",3736,72,1.0,1.0,0.0006420395480610079,True,gain,0.0
top,gen_85,GFP,NarL,9.987693903161752e-06,"[93, 110]",743,3065,1.0,1.0,2.270840414940576e-05,True,loss,0.0
top,gen_85,RFP,CRP,0.0004992086539631,"[46, 66]",757,3051,1.0,1.0,0.0006428104173989464,True,loss,0.0
top,gen_85,RFP,PutA,2.527021291591461e-05,"[17, 23]",3733,75,1.0,1.0,5.050483398265187e-05,True,gain,0.0
bottom,gen_85,GFP,OxyR,0.00033726160302,"[0, 20]",698,3110,1.0,1.0,0.00047011219517227896,True,loss,0.0
top,gen_224,GFP,MarA,1.299782516016035e-09,"[29, 52]",1671,86,1.0,1.0,5.675050431466935e-09,True,gain,0.0
top,gen_224,GFP,MraZ,0.0001345941779721,"[17, 25]",1743,14,1.0,1.03125,0.0002155633617860157,True,gain,0.03125
top,gen_224,GFP,PutA,4.549289774582414e-05,"[19, 25]",1744,13,1.0,1.0625,8.607256253509928e-05,True,gain,0.0625
bottom,gen_224,RFP,Dan,0.0006702335189227,"[4, 15]",1732,25,1.0,1.084507042253521,0.0008049053911113465,True,gain,0.084507042253521
bottom,gen_224,RFP,IclR,0.0012490656112465,"[80, 96]",1738,19,1.0,1.3333333333333333,0.0012778832749522592,True,gain,0.3333333333333332
bottom,gen_224,RFP,NarL,3.102090375050353e-07,"[80, 97]",414,1343,1.0,1.0,9.65321544341327e-07,True,loss,0.0
bottom,gen_224,RFP,PhoB,2.3950441290614507e-08,"[83, 103]",599,1158,1.0,1.0,8.943598997732101e-08,True,loss,0.0
top,gen_224,RFP,MarA,5.090093513316236e-34,"[29, 52]",1671,86,1.0,3.951415774238508,1.0031725965827416e-32,True,gain,2.951415774238508
top,gen_224,RFP,MraZ,0.0008970856332993,"[17, 25]",1743,14,1.0,2.7750619703695163,0.001005501195617462,True,gain,1.7750619703695163
top,gen_224,RFP,NarL,0.0013046132838512,"[9, 26]",1560,197,1.0,1.0,0.0013232639383737332,True,gain,0.0
top,gen_224,RFP,PutA,0.0003001705989564,"[19, 25]",1744,13,1.0,3.8995215311004783,0.00042765269068185903,True,gain,2.8995215311004783
top,gen_224,RFP,TorR,0.0004177257726424,"[10, 23]",469,1288,1.0,1.0,0.0005586737713285256,True,loss,0.0
bottom,gen_224,GFP,IclR,0.0006660366785638,"[80, 96]",1738,19,1.0,1.0,0.0008009373278661289,True,gain,0.0
bottom,gen_224,GFP,RhaS,2.742734517455139e-07,"[22, 42]",1746,11,1.0,1.6,8.591479647392587e-07,True,gain,0.6000000000000001
bottom,gen_4,GFP,IclR,0.0008187658894624,"[47, 63]",3276,55,1.0,1.0,0.0009430428548272287,True,gain,0.0
bottom,gen_175,GFP,RcdA,0.0006263524490868,"[6, 20]",352,1851,1.0,1.0,0.0007629134122353384,True,loss,0.0
bottom,gen_143,RFP,CytR,0.0006401479264823,"[1, 24]",658,1683,1.0,1.0,0.0007730807724922415,True,loss,0.0
bottom,gen_143,RFP,IHF,0.0011533122191778,"[6, 20]",517,1824,1.0,1.0,0.0012077860066518806,True,loss,0.0
bottom,gen_190,RFP,CytR,0.0011521239762278,"[75, 98]",955,1574,1.0,1.0,0.0012074327343184993,True,loss,0.0
bottom,gen_190,RFP,Fis,0.0011021426380846,"[82, 99]",759,1770,1.0,1.0,0.0011679913393891318,True,loss,0.0
top,gen_190,RFP,SlyA,0.0013938262340219,"[19, 34]",935,1594,1.0,1.0,0.0013997448167566004,True,loss,0.0
bottom,gen_190,GFP,Dan,5.297849189042406e-06,"[81, 92]",2426,103,1.0,1.0,1.2916920960912671e-05,True,gain,0.0
top,gen_165,RFP,Lrp,0.0008422860320102,"[88, 101]",768,21,1.0,1.0,0.000961547771055892,True,gain,0.0
bottom,gen_28,RFP,CsgD,1.5716988970442926e-05,"[11, 25]",767,15,1.0,3.819277108433736,3.343689257729912e-05,True,gain,2.819277108433736
bottom,gen_28,RFP,Fis,1.184066569158803e-10,"[92, 109]",759,23,1.0,3.0,5.854322165980283e-10,True,gain,2.0
bottom,gen_28,RFP,MalT,0.0009929487640254,"[85, 94]",748,34,1.0,1.0540348101265824,0.0010821768787650098,True,gain,0.0540348101265824
bottom,gen_28,RFP,NsrR,4.704250625137201e-07,"[4, 19]",770,12,1.0,3.9024618328911314,1.3965128947844536e-06,True,gain,2.902461832891132
bottom,gen_28,RFP,OmpR,0.0011367229261412,"[5, 27]",273,509,1.0,1.0,0.0011965948310047202,True,loss,0.0
bottom,gen_28,RFP,RhaS,2.0614443034349185e-17,"[59, 79]",762,20,1.0,3.771589535654412,1.7106371149556427e-16,True,gain,2.771589535654412
top,gen_28,RFP,GlpR,0.0010349393286153,"[63, 85]",759,23,1.0,1.1999999999999995,0.0011136177310466825,True,gain,0.1999999999999995
bottom,gen_28,GFP,NsrR,0.0009492937872398,"[4, 19]",770,12,1.0,1.3946666666666667,0.0010474711384862178,True,gain,0.3946666666666667
bottom,gen_18,RFP,QseB,0.0006975565549683,"[48, 64]",1834,30,1.1558704453441293,1.0,0.0008331925517676917,True,gain,-0.1558704453441293
top,gen_18,RFP,CytR,0.0001848386262061,"[45, 68]",1770,94,1.1653902261123266,1.0,0.0002832462317348336,True,gain,-0.1653902261123265
top,gen_18,RFP,RhaS,1.4534235595570148e-10,"[5, 25]",1739,125,1.2142857142857142,1.0,7.014993302759878e-10,True,gain,-0.2142857142857142
top,gen_147,GFP,Lrp,1.1379333512499038e-05,"[121, 134]",2917,78,1.0,1.0,2.550912204460685e-05,True,gain,0.0
top,gen_147,GFP,PutA,0.0001799910672107,"[72, 78]",244,2751,1.0,1.0,0.00027641485321643213,True,loss,0.0
bottom,gen_147,RFP,Dan,0.0005430479998752,"[41, 52]",2924,71,1.0,1.0,0.000684356227196189,True,gain,0.0
bottom,gen_147,RFP,IclR,0.0002200755528998,"[45, 61]",2936,59,1.0,1.0,0.00033016558215705,True,gain,0.0
bottom,gen_147,RFP,NanR,0.0011800267579462,"[104, 111]",2978,17,1.0,1.0,0.0012276084820569337,True,gain,0.0
top,gen_147,RFP,Dan,7.600710520304263e-05,"[119, 130]",284,2711,1.0,1.0,0.00013481760285389687,True,loss,0.0
top,gen_147,RFP,MraZ,0.0013621492740455,"[133, 141]",2916,79,1.0,1.0,0.0013735765571914055,True,gain,0.0
top,gen_164,GFP,Dan,0.0008325042344934,"[98, 109]",956,3207,1.0,1.0,0.000951912577555306,True,loss,0.0
top,gen_164,GFP,PutA,0.0005397612929901,"[103, 109]",4007,156,1.0,1.0,0.0006808189108915129,True,gain,0.0
bottom,gen_97,RFP,CsgD,1.0338243136692801e-14,"[6, 20]",1209,30,1.0,3.7828125,7.121343209207323e-14,True,gain,2.7828125
bottom,gen_97,RFP,Fis,9.87372627325861e-19,"[30, 47]",1220,19,1.0,3.956664600123993,9.157397112257495e-18,True,gain,2.956664600123993
bottom,gen_97,RFP,IclR,6.348129244718539e-08,"[12, 28]",1172,67,1.0,1.0288461538461535,2.1917263742714371e-07,True,gain,0.0288461538461535
bottom,gen_97,RFP,QseB,5.470143753643006e-10,"[11, 27]",1182,57,1.0,1.1666666666666663,2.4641695194982303e-09,True,gain,0.1666666666666663
top,gen_97,RFP,Fis,9.87372627325861e-19,"[75, 92]",1220,19,1.0,3.956664600123993,9.157397112257495e-18,True,gain,2.956664600123993
top,gen_97,RFP,PutA,2.905467123733008e-40,"[21, 27]",1197,42,1.0,3.96380837508818,7.233083944872173e-39,True,gain,2.96380837508818
top,gen_60,RFP,NanR,2.094859167609439e-06,"[95, 102]",3119,40,1.0,1.0,5.556271324930457e-06,True,gain,0.0
top,gen_128,GFP,CsgD,0.0008157930430419,"[21, 35]",3489,41,1.0,1.0,0.0009403820699240099,True,gain,0.0
top,gen_128,GFP,CsgD,1.899036414969805e-05,"[96, 110]",401,3129,1.0,1.0,3.933916310718472e-05,True,loss,0.0
top,gen_128,GFP,IclR,0.0004401703703164,"[51, 67]",657,2873,1.0,1.0,0.0005794079364368938,True,loss,0.0
top,gen_128,GFP,MraZ,9.745912908136963e-05,"[45, 53]",3474,56,1.0,1.0,0.00016582074840103538,True,gain,0.0
top,gen_128,GFP,RelB,0.0003759430217848,"[12, 27]",963,2567,1.0,1.0,0.000514429265103791,True,loss,0.0
top,gen_128,GFP,XylR,6.816479593567102e-05,"[14, 35]",939,2591,1.0,1.0,0.0001224377790287559,True,loss,0.0
bottom,gen_128,GFP,FhlA,0.0006392342342501,"[1, 18]",3318,212,1.0,1.0,0.0007730807724922415,True,gain,0.0
top,gen_63,RFP,MraZ,0.0002250463029767,"[92, 100]",254,1645,1.0,1.0,0.00033650232236452827,True,loss,0.0
bottom,gen_62,RFP,ArcA,2.670981489837639e-13,"[27, 44]",2692,106,1.0,1.1035714285714286,1.6623345324910571e-12,True,gain,0.1035714285714286
bottom,gen_62,RFP,FNR,1.6745749063245353e-05,"[26, 40]",2612,186,1.0,1.0,3.5250732334399804e-05,True,gain,0.0
bottom,gen_62,RFP,Lrp,3.1899697427395266e-07,"[22, 35]",2695,103,1.0,1.0254237288135593,9.90496075480829e-07,True,gain,0.0254237288135592
bottom,gen_62,RFP,MarA,0.0005569869827191,"[18, 41]",2722,76,1.0,1.0,0.0006963647345862179,True,gain,0.0
bottom,gen_62,RFP,MraZ,1.265413646432783e-08,"[8, 16]",2643,155,1.0,1.0,4.93302737441791e-08,True,gain,0.0
bottom,gen_62,RFP,MraZ,2.3562510473758944e-06,"[19, 27]",2715,83,1.0,1.0238095238095235,6.180259216684647e-06,True,gain,0.0238095238095235
top,gen_62,RFP,FNR,1.947737174093928e-10,"[56, 70]",2703,95,1.0,1.0638297872340423,9.212796833464279e-10,True,gain,0.0638297872340423
top,gen_62,RFP,Lrp,1.5178652778638522e-14,"[84, 97]",312,2486,1.0,1.0,1.0207823835491972e-13,True,loss,0.0
top,gen_62,RFP,Lrp,9.331043281050082e-05,"[85, 98]",2689,109,1.0,1.0,0.00016029964183789425,True,gain,0.0
top,gen_62,RFP,MalT,2.233747022034847e-17,"[58, 67]",2727,71,1.0,1.7999999999999998,1.8428412931787486e-16,True,gain,0.7999999999999998
top,gen_62,RFP,NarL,1.3777904625159868e-07,"[22, 39]",2772,26,1.0,3.827015300296872,4.536159318585117e-07,True,gain,2.827015300296872
top,gen_62,RFP,SoxS,0.0012142807754923,"[59, 81]",2715,83,1.0,1.0,0.001251317661890758,True,gain,0.0
bottom,gen_62,GFP,IHF,4.334491032822597e-05,"[7, 21]",585,2213,1.0,1.0,8.24482945787569e-05,True,loss,0.0
bottom,gen_62,GFP,NarL,0.0003661783956585,"[6, 23]",894,1904,1.0,1.0,0.0005039836502807094,True,loss,0.0
top,gen_223,GFP,CsgD,7.387139839623492e-08,"[51, 65]",1221,23,1.0,1.0,2.519796017410032e-07,True,gain,0.0
top,gen_223,GFP,CsgD,0.0011813539506896,"[53, 67]",1191,53,1.0,1.0,0.0012280888322553423,True,gain,0.0
top,gen_223,GFP,NanR,1.4046535555695562e-06,"[55, 62]",1222,22,1.0,1.0,3.818397309105748e-06,True,gain,0.0
top,gen_223,GFP,NanR,1.391015688247894e-09,"[79, 86]",1192,52,1.0,1.0,6.036242390286733e-09,True,gain,0.0
top,gen_223,GFP,NarP,2.061899801875774e-06,"[57, 73]",1225,19,1.0,1.0,5.5204449412485355e-06,True,gain,0.0
bottom,gen_223,RFP,AsnC,4.259270607112958e-07,"[19, 36]",382,862,1.0,1.3973684210526314,1.2777811821338875e-06,True,loss,-0.3973684210526313
bottom,gen_223,RFP,Fis,1.238012774776029e-11,"[79, 96]",1217,27,1.181818181818182,3.961783439490445,6.654318664421156e-11,True,gain,2.779965257672263
bottom,gen_223,RFP,IHF,0.0001110798654918,"[24, 38]",248,996,1.0,1.318609022556391,0.00018392337121687772,True,loss,-0.3186090225563909
bottom,gen_223,RFP,NarL,5.355971302028984e-11,"[84, 101]",1201,43,1.1764705882352942,3.9344262295081966,2.743726815010515e-10,True,gain,2.7579556412729023
bottom,gen_223,RFP,NhaR,0.0009869584741948,"[23, 44]",348,896,1.0,1.3157894736842104,0.001076475076773575,True,loss,-0.3157894736842104
top,gen_223,RFP,CsgD,1.4513088321700032e-14,"[51, 65]",1221,23,1.1764705882352942,3.96486825595985,9.853623123680547e-14,True,gain,2.7883976677245554
top,gen_223,RFP,CsgD,6.641470814194577e-08,"[53, 67]",1191,53,1.1764705882352942,3.671232876712329,2.281900020663948e-07,True,gain,2.494762288477035
top,gen_223,RFP,Lrp,0.0007739375054899,"[104, 117]",151,1093,1.0,1.2769230769230768,0.0009053728938913175,True,loss,-0.2769230769230768
top,gen_223,RFP,NanR,8.148922885589741e-10,"[55, 62]",1222,22,1.1875,3.924554530519399,3.6248656973830222e-09,True,gain,2.737054530519399
top,gen_223,RFP,NanR,2.0434466811103354e-14,"[79, 86]",1192,52,1.1715686274509802,3.928835197299009,1.3677598304224366e-13,True,gain,2.7572665698480288
top,gen_223,RFP,NarP,4.2284284105298723e-08,"[57, 73]",1225,19,1.1875,3.9222797927461146,1.5228781508989564e-07,True,gain,2.7347797927461146
bottom,gen_223,GFP,Fis,1.621450503817336e-07,"[79, 96]",1217,27,1.0,1.0,5.207896512056603e-07,True,gain,0.0
bottom,gen_223,GFP,NarL,0.0001612496218611,"[84, 101]",1201,43,1.0,1.0,0.0002517197977880376,True,gain,0.0
bottom,gen_77,GFP,PutA,0.0002128466736156,"[84, 90]",2002,24,1.0,1.0,0.0003209837546371623,True,gain,0.0
top,gen_183,RFP,TorR,0.0001439429432958,"[78, 91]",3889,22,1.0,1.0,0.00022770907083248626,True,gain,0.0
bottom,gen_183,GFP,Lrp,1.6993324264431827e-06,"[79, 92]",3894,17,1.0,1.0,4.601818154814649e-06,True,gain,0.0
top,gen_124,GFP,IHF,0.0003755335275944,"[0, 14]",714,2224,1.0,1.0,0.000514429265103791,True,loss,0.0
bottom,gen_124,RFP,ArgP,0.0002713975618466,"[71, 90]",2903,35,1.0,1.0,0.0003933739941372067,True,gain,0.0
bottom,gen_124,RFP,CsgD,3.6179011999264682e-12,"[50, 64]",2828,110,1.0,1.0,2.0954293072227178e-11,True,gain,0.0
bottom,gen_124,RFP,MraZ,1.2997096749331066e-29,"[101, 109]",2918,20,1.0,3.9502741553019214,2.0492089208111983e-28,True,gain,2.9502741553019223
bottom,gen_124,RFP,RhaS,6.69844825578019e-07,"[104, 124]",110,2828,1.0,1.0,1.947765998965592e-06,True,loss,0.0
bottom,gen_124,RFP,Rob,1.587045220584137e-05,"[50, 73]",241,2697,1.0,1.0,3.3669991936929736e-05,True,loss,0.0
bottom,gen_124,RFP,SoxR,2.4484342254059474e-06,"[9, 29]",2803,135,1.0,1.0,6.386632657814411e-06,True,gain,0.0
top,gen_124,RFP,CpxR,0.0001696855969835,"[0, 20]",854,2084,1.0,1.0,0.00026223896544461133,True,loss,0.0
top,gen_124,RFP,GadX,1.8494432372744903e-09,"[3, 25]",2868,70,1.0,1.0,7.904698655700306e-09,True,gain,0.0
top,gen_124,RFP,IHF,0.0001011648231193,"[0, 14]",714,2224,1.0,1.0,0.00017069308443078083,True,loss,0.0
top,gen_124,RFP,NarL,1.2997096749331066e-29,"[16, 33]",2918,20,1.0,3.9502741553019214,2.0492089208111983e-28,True,gain,2.9502741553019223
top,gen_124,RFP,RhaS,5.137678229624025e-08,"[46, 66]",2773,165,1.0,1.0,1.8000902241571584e-07,True,gain,0.0
top,gen_193,GFP,Lrp,0.0007164339860207,"[80, 93]",3011,168,1.0,1.0,0.0008492222887722736,True,gain,0.0
top,gen_193,GFP,MraZ,7.235256125602686e-07,"[1, 9]",568,2611,1.0,1.0,2.0910037560550326e-06,True,loss,0.0
top,gen_193,GFP,PdhR,7.747216257192393e-06,"[16, 35]",1194,1985,1.0,1.0,1.8140758859663373e-05,True,loss,0.0
top,gen_193,RFP,PdhR,0.0006215741270693,"[16, 35]",1194,1985,1.0,1.0,0.0007591536928054745,True,loss,0.0
bottom,gen_193,GFP,ArgP,8.380698714185554e-05,"[15, 34]",3148,31,1.0,1.0,0.00014627566390441944,True,gain,0.0
bottom,gen_193,GFP,MraZ,0.0001107458745307,"[17, 25]",3145,34,1.0,1.0,0.0001835845747185319,True,gain,0.0
top,gen_16,GFP,Fis,1.2226979726961017e-05,"[1, 18]",572,1481,1.0,1.0,2.701147643424861e-05,True,loss,0.0
top,gen_16,RFP,Fis,3.945369879958933e-07,"[1, 18]",572,1481,1.0,1.0,1.1911659275876012e-06,True,loss,0.0
bottom,gen_99,RFP,NarL,0.0004021551227285,"[64, 81]",271,1216,1.0,1.0,0.0005440020201637192,True,loss,0.0
top,gen_104,RFP,CsgD,2.127583809938597e-06,"[6, 20]",381,614,1.0,1.0,5.632539974445651e-06,True,loss,0.0
top,gen_24,GFP,Fis,0.0002162267820432,"[9, 26]",370,1823,1.0,1.0,0.0003253720081858969,True,loss,0.0
top,gen_24,RFP,IclR,0.0011583955167088,"[88, 104]",319,1874,1.0,1.0,0.001210429483217811,True,loss,0.0
top,gen_102,GFP,FNR,2.312265654132181e-16,"[15, 29]",3821,70,1.0,1.0,1.783209219137807e-15,True,gain,0.0
bottom,gen_102,RFP,Dan,2.0794390514555595e-48,"[78, 89]",3816,75,1.0,3.939799331103679,6.147341695865497e-47,True,gain,2.939799331103679
bottom,gen_102,RFP,Fis,6.259556867180998e-18,"[13, 30]",1009,2882,1.0,1.0,5.551444496581147e-17,True,loss,0.0
bottom,gen_102,RFP,FNR,3.18893707697428e-23,"[83, 97]",3634,257,1.0,1.075,3.6200813697812034e-22,True,gain,0.0749999999999999
bottom,gen_102,RFP,MraZ,0.0001775376631057,"[12, 20]",356,3535,1.0,1.0,0.0002734175973361185,True,loss,0.0
bottom,gen_102,RFP,MraZ,1.0802004675562474e-50,"[86, 94]",3810,81,1.0,3.932907348242812,3.4062321410273673e-49,True,gain,2.932907348242812
bottom,gen_102,RFP,PhoP,2.9528574527509056e-11,"[83, 101]",3879,12,1.0,3.937838997931869,1.5518906390568648e-10,True,gain,2.937838997931869
top,gen_102,RFP,ArgP,1.1743300791511616e-05,"[80, 99]",3783,108,1.0,1.050664136622391,2.6242116256936983e-05,True,gain,0.050664136622391
top,gen_102,RFP,FhlA,0.0009460308991743,"[73, 90]",3437,454,1.0,1.0,0.0010454967647416913,True,gain,0.0
top,gen_102,RFP,Fis,3.089583277686903e-06,"[23, 40]",3807,84,1.0,1.0,7.828783341138776e-06,True,gain,0.0
top,gen_102,RFP,Fis,0.000809237570569,"[48, 65]",3841,50,1.0,1.0,0.0009358664324673276,True,gain,0.0
top,gen_102,RFP,FNR,1.335312553727185e-38,"[15, 29]",3821,70,1.0,3.9388386168182095,3.1580141895647923e-37,True,gain,2.938838616818209
top,gen_102,RFP,FNR,1.2133726616674958e-05,"[76, 90]",3794,97,1.0,1.0528169014084507,2.694475551065076e-05,True,gain,0.0528169014084507
top,gen_102,RFP,Lrp,1.2044388766082452e-05,"[75, 88]",3825,66,1.0,1.0794425087108013,2.680801628250633e-05,True,gain,0.0794425087108012
top,gen_102,RFP,PutA,8.590034358450802e-08,"[19, 25]",3875,16,1.0,3.756709956709957,2.909130967694914e-07,True,gain,2.756709956709957
top,gen_102,RFP,RelB,8.199726684419292e-05,"[51, 66]",3824,67,1.0,1.0379746835443036,0.00014382462503326296,True,gain,0.0379746835443035
bottom,gen_102,GFP,Dan,6.16995471678984e-24,"[78, 89]",3816,75,1.0,1.1034482758620687,7.118020929369742e-23,True,gain,0.1034482758620687
bottom,gen_102,GFP,Fis,0.0003504784685944,"[88, 105]",1040,2851,1.0,1.0,0.0004866232357489761,True,loss,0.0
bottom,gen_102,GFP,FNR,6.475730190415679e-08,"[83, 97]",3634,257,1.0,1.0,2.230354645679575e-07,True,gain,0.0
bottom,gen_102,GFP,MraZ,2.738557484825029e-17,"[86, 94]",3810,81,1.0,1.0,2.2462503300385643e-16,True,gain,0.0
top,gen_191,RFP,Fis,0.0008874030393718,"[1, 18]",3736,36,1.0,1.0,0.0009985923178973705,True,gain,0.0
bottom,gen_191,GFP,CsgD,0.0008036133376178,"[52, 66]",3710,62,1.0,1.0,0.0009316399722873025,True,gain,0.0
top,gen_51,GFP,ArgP,1.297900767241396e-05,"[33, 52]",3934,128,1.0,1.0,2.8465551603022274e-05,True,gain,0.0
top,gen_51,GFP,Lrp,1.0974144198756826e-05,"[23, 36]",847,3215,1.0,1.0,2.463973199056319e-05,True,loss,0.0
top,gen_51,GFP,NarL,0.0004118382460901,"[27, 44]",981,3081,1.0,1.0,0.0005539322001913288,True,loss,0.0
top,gen_51,GFP,SoxR,1.288497652649668e-05,"[19, 39]",1051,3011,1.0,1.0,2.830306763327986e-05,True,loss,0.0
bottom,gen_51,RFP,ArcA,0.0002128581487763,"[69, 86]",3908,154,1.0,1.0,0.0003209837546371623,True,gain,0.0
bottom,gen_51,RFP,Dan,3.0189919391405615e-13,"[70, 81]",4021,41,1.0,1.75,1.8545236197577733e-12,True,gain,0.75
top,gen_51,RFP,ArcA,3.931542874447102e-12,"[22, 39]",4027,35,1.0,2.148148148148148,2.2495400559840476e-11,True,gain,1.148148148148148
top,gen_51,RFP,Lrp,0.0010830694354251,"[26, 39]",3901,161,1.0,1.0,0.0011529448828718806,True,gain,0.0
top,gen_51,RFP,NarL,3.9724017017844705e-15,"[28, 45]",4026,36,1.0,2.2650853100291304,2.8468878862788706e-14,True,gain,1.2650853100291304
top,gen_51,RFP,NsrR,0.0003898993082047,"[41, 56]",4043,19,1.0,1.1071428571428572,0.0005309665243209879,True,gain,0.1071428571428572
top,gen_51,RFP,PutA,0.0006275822141934,"[3, 9]",3958,104,1.0,1.0,0.0007637557134995151,True,gain,0.0
top,gen_35,GFP,Fis,2.2682548015905966e-24,"[16, 33]",2883,147,1.0,1.0,2.798829185614832e-23,True,gain,0.0
top,gen_35,GFP,Fis,1.622191866334756e-07,"[97, 114]",2915,115,1.0,1.0,5.207896512056603e-07,True,gain,0.0
